iter	Passed	Remaining
607	186777	274022
608	187017	273616
609	187264	273222
610	187496	272805
611	187717	272374
612	187918	271915
613	188172	271532
614	188447	271179
615	188730	270840
616	189088	270607
617	189397	270304
618	189659	269935
619	189942	269596
620	190235	269271
621	190479	268875
622	190759	268532
623	191015	268156
624	191310	267834
625	191601	267507
626	191797	267047
627	192111	266753
628	192380	266397
629	192704	266115
630	192991	265783
631	193310	265496
632	193580	265140
633	193825	264752
634	194062	264353
635	194317	263978
636	194657	263719
637	194905	263335
638	195182	262991
639	195413	262587
640	195759	262336
641	196025	261977
642	196145	261426
643	196400	261054
644	196637	260658
645	196931	260339
646	197220	260014
647	197492	259665
648	197749	259298
649	197932	258835
650	198200	258482
651	198424	258073
652	198673	257697
653	198939	257343
654	199206	256992
655	199400	256546
656	199655	256178
657	199900	255799
658	200106	255371
659	200396	255050
660	200665	254702
661	200912	254326
662	201204	254009
663	201466	253653
664	201732	253303
665	201978	252928
666	202227	252556
667	202478	252188
668	202748	251845
669	203013	251494
670	203157	250994
671	203408	250628
672	203668	250273
673	203925	249915
674	204171	249543
675	204418	249173
676	204672	248811
677	204986	248523
678	205263	248190
679	205544	247862
680	205869	247587
681	206150	247259
682	206431	246931
683	206661	246543
684	207014	246301
685	207278	245954
686	207549	245615
687	207846	245307
688	208065	244907
689	208331	244562
690	208585	244205
691	208793	243793
692	209071	243464
693	209349	243135
694	209604	242779
695	209874	242441
696	210116	242071
697	210421	241773
698	210690	241434
699	210936	241070
700	211210	240737
701	211451	240367
702	211699	240006
703	212013	239719
704	212310	239414
705	212536	239028
706	212777	238659
707	213075	238355
708	213320	237991
709	213583	237649
710	213851	237312
711	214176	237038
712	214453	236710
713	214699	236349
714	214987	236034
715	215278	235723
716	215515	235353
717	215802	235038
718	216078	234711
719	216345	234373
720	216639	234067
721	216891	233714
722	217169	233389
723	217436	233053
724	217668	232680
725	217968	232379
726	218273	232084
727	218526	231734
728	218862	231472
729	219135	231142
730	219417	230824
731	219698	230503
732	219967	230170
733	220223	229824
734	220516	229516
735	220798	229198
736	221053	228851
737	221337	228535
738	221627	228224
739	221894	227891
740	222125	227521
741	222387	227182
742	222647	226842
743	222879	226474
744	223152	226147
745	223430	225827
746	223738	225535
747	223992	225190
748	224243	224842
749	224460	224460
750	224707	224108
751	224996	223799
752	225250	223456
753	225397	223005
754	225744	222754
755	226026	222439
756	226306	222120
757	226605	221822
758	226898	221517
759	227272	221291
760	227528	220950
761	227796	220621
762	228100	220327
763	228323	219955
764	228595	219630
765	228872	219311
766	229141	218984
767	229290	218542
768	229569	218225
769	229840	217900
770	230090	217556
771	230339	217211
772	230659	216933
773	230932	216611
774	231166	216252
775	231422	215915
776	231729	215624
777	232009	215309
778	232318	215021
779	232589	214697
780	232847	214362
781	233070	213995
782	233338	213670
783	233593	213333
784	233861	213007
785	234094	212650
786	234351	212316
787	234630	212001
788	234895	211674
789	235179	211363
790	235436	211030
791	235745	210741
792	235980	210388
793	236240	210057
794	236496	209723
795	236763	209399
796	236960	209013
797	237185	208651
798	237450	208326
799	237711	207997
800	237972	207668
801	238275	207376
802	238530	207043
803	238731	206663
804	238991	206334
805	239297	206045
806	239567	205725
807	239854	205419
808	240110	205087
809	240417	204800
810	240677	204471
811	241015	204209
812	241324	203923
813	241593	203603
814	241865	203285
815	242073	202914
816	242344	202596
817	242548	202222
818	242815	201901
819	243252	201721
820	243600	201467
821	243877	201154
822	244149	200837
823	244451	200545
824	244718	200224
825	244989	199906
826	245255	199585
827	245513	199257
828	245775	198932
829	246070	198635
830	246302	198286
831	246589	197982
832	246848	197656
833	247120	197340
834	247411	197040
835	247692	196731
836	247931	196389
837	248196	196069
838	248450	195739
839	248743	195441
840	248986	195103
841	249284	194808
842	249560	194497
843	249836	194185
844	250143	193898
845	250419	193586
846	250685	193267
847	250922	192926
848	251147	192575
849	251416	192259
850	251692	191948
851	251984	191650
852	252288	191360
853	252553	191041
854	252869	190760
855	253133	190441
856	253407	190129
857	253645	189790
858	253927	189484
859	254227	189192
860	254449	188842
861	254688	188505
862	254945	188181
863	255213	187865
864	255477	187546
865	255697	187196
866	256001	186907
867	256262	186587
868	256493	186245
869	256810	185966
870	257067	185643
871	257286	185293
872	257519	184953
873	257743	184608
874	258001	184286
875	258293	183989
876	258567	183680
877	258845	183373
878	259099	183049
879	259331	182711
880	259556	182367
881	259773	182018
882	260049	181710
883	260295	181382
884	260574	181077
885	260826	180753
886	261080	180431
887	261331	180106
888	261609	179801
889	261890	179498
890	262141	179174
891	262421	178870
892	262695	178562
893	262956	178245
894	263232	177939
895	263501	177627
896	263733	177292
897	263985	176970
898	264263	176665
899	264521	176347
900	264757	176015
901	264990	175680
902	265255	175368
903	265431	174996
904	265706	174690
905	266060	174437
906	266340	174134
907	266573	173801
908	266791	173458
909	267010	173116
910	267210	172763
911	267441	172429
912	267669	172094
913	267942	171787
914	268185	171462
915	268404	171122
916	268626	170784
917	268850	170447
918	269068	170107
919	269303	169778
920	269509	169431
921	269752	169107
922	270024	168802
923	270257	168472
924	270471	168130
925	270686	167790
926	270900	167449
927	271121	167113
928	271336	166774
929	271596	166462
930	271813	166124
931	272036	165790
932	272248	165449
933	272455	165106
934	272652	164757
935	272888	164433
936	273112	164100
937	273366	163786
938	273587	163452
939	273829	163132
940	274037	162791
941	274236	162446
942	274476	162124
943	274685	161784
944	274883	161439
945	275066	161085
946	275260	160738
947	275455	160391
948	275663	160053
949	275818	159684
950	276022	159344
951	276203	158990
952	276421	158659
953	276634	158325
954	276872	158005
955	277094	157677
956	277294	157336
957	277510	157005
958	277711	156664
959	277933	156337
960	278132	155997
961	278376	155682
962	278590	155351
963	278768	154999
964	278977	154666
965	279200	154340
966	279421	154014
967	279628	153680
968	279832	153344
969	280039	153011
970	280278	152695
971	280482	152360
972	280666	152015
973	280864	151678
974	281075	151348
975	281264	151006
976	281461	150669
977	281680	150344
978	281900	150020
979	282121	149696
980	282318	149360
981	282547	149042
982	282800	148736
983	283034	148420
984	283237	148088
985	283446	147760
986	283654	147431
987	283889	147116
988	284117	146798
989	284318	146466
990	284527	146139
991	284705	145796
992	284920	145472
993	285140	145151
994	285349	144825
995	285551	144496
996	285764	144171
997	285932	143825
998	286142	143500
999	286329	143164
1000	286536	142838
1001	286757	142520
1002	286983	142204
1003	287184	141875
1004	287396	141553
1005	287616	141235
1006	287837	140917
1007	288038	140589
1008	288245	140266
1009	288477	139954
1010	288697	139637
1011	288910	139316
1012	289125	138997
1013	289319	138667
1014	289519	138342
1015	289745	138028
1016	289963	137711
1017	290208	137407
1018	290435	137094
1019	290632	136768
1020	290866	136459
1021	291049	136127
1022	291291	135822
1023	291491	135498
1024	291677	135167
1025	291889	134849
1026	292102	134531
1027	292356	134233
1028	292574	133919
1029	292785	133600
1030	292989	133280
1031	293184	132955
1032	293412	132646
1033	293616	132326
1034	293833	132012
1035	294051	131698
1036	294301	131399
1037	294501	131078
1038	294691	130753
1039	294898	130435
1040	295080	130107
1041	295260	129778
1042	295457	129457
1043	295678	129146
1044	295917	128844
1045	296102	128518
1046	296301	128199
1047	296511	127884
1048	296703	127562
1049	296911	127247
1050	297143	126943
1051	297338	126623
1052	297544	126307
1053	297741	125989
1054	297947	125674
1055	298171	125367
1056	298366	125048
1057	298565	124731
1058	298779	124420
1059	298986	124107
1060	299225	123807
1061	299418	123489
1062	299659	123190
1063	299870	122879
1064	300035	122549
1065	300242	122237
1066	300439	121921
1067	300654	121612
1068	300864	121302
1069	301107	121005
1070	301313	120694
1071	301544	120392
1072	301749	120081
1073	301953	119769
1074	302132	119447
1075	302333	119135
1076	302533	118822
1077	302752	118517
1078	302936	118198
1079	303137	117886
1080	303371	117588
1081	303585	117281
1082	303790	116972
1083	303988	116659
1084	304200	116353
1085	304427	116052
1086	304627	115741
1087	304822	115429
1088	305018	115117
1089	305227	114810
1090	305428	114500
1091	305647	114197
1092	305848	113888
1093	306046	113578
1094	306297	113288
1095	306517	112986
1096	306740	112685
1097	306961	112384
1098	307165	112077
1099	307384	111776
1100	307598	111472
1101	307843	111181
1102	308046	110874
1103	308261	110572
1104	308477	110270
1105	308676	109962
1106	308865	109651
1107	309085	109351
1108	309310	109053
1109	309536	108756
1110	309747	108453
1111	309970	108155
1112	310192	107856
1113	310399	107553
1114	310593	107245
1115	310824	106950
1116	311037	106649
1117	311215	106336
1118	311454	106044
1119	311621	105728
1120	311818	105422
1121	312036	105124
1122	312261	104828
1123	312462	104524
1124	312681	104227
1125	312902	103930
1126	313109	103629
1127	313310	103325
1128	313537	103031
1129	313720	102722
1130	313917	102418
1131	314148	102125
1132	314357	101826
1133	314579	101530
1134	314808	101238
1135	315030	100942
1136	315252	100648
1137	315444	100343
1138	315634	100038
1139	315851	99742
1140	316042	99438
1141	316237	99135
1142	316447	98837
1143	316618	98528
1144	316830	98231
1145	317008	97924
1146	317203	97622
1147	317418	97326
1148	317644	97035
1149	317860	96740
1150	318077	96445
1151	318293	96151
1152	318512	95857
1153	318683	95549
1154	318888	95252
1155	319096	94955
1156	319305	94660
1157	319500	94360
1158	319701	94062
1159	319881	93758
1160	320044	93449
1161	320246	93152
1162	320480	92864
1163	320676	92566
1164	320872	92268
1165	321082	91973
1166	321275	91675
1167	321506	91387
1168	321700	91088
1169	321936	90802
1170	322099	90496
1171	322307	90202
1172	322492	89902
1173	322659	89596
1174	322851	89299
1175	323061	89006
1176	323268	88713
1177	323462	88416
1178	323688	88129
1179	323924	87844
1180	324121	87548
1181	324330	87256
1182	324517	86958
1183	324717	86664
1184	324918	86370
1185	325134	86081
1186	325339	85788
1187	325550	85498
1188	325746	85203
1189	325942	84909
1190	326143	84616
1191	326373	84331
1192	326561	84035
1193	326775	83746
1194	327005	83461
1195	327183	83163
1196	327393	82873
1197	327616	82587
1198	327791	82289
1199	327977	81994
1200	328190	81706
1201	328392	81415
1202	328615	81129
1203	328837	80843
1204	329051	80556
1205	329224	80258
1206	329443	79972
1207	329647	79682
1208	329867	79397
1209	330058	79105
1210	330242	78811
1211	330443	78521
1212	330653	78233
1213	330850	77943
1214	331030	77649
1215	331253	77365
1216	331473	77080
1217	331642	76784
1218	331846	76496
1219	332055	76209
1220	332262	75922
1221	332481	75638
1222	332686	75351
1223	332889	75063
1224	333134	74785
1225	333343	74499
1226	333545	74211
1227	333755	73926
1228	333956	73638
1229	334205	73362
1230	334407	73075
1231	334606	72787
1232	334842	72508
1233	335027	72218
1234	335246	71935
1235	335470	71653
1236	335635	71359
1237	335818	71069
1238	336067	70793
1239	336279	70510
1240	336508	70230
1241	336697	69941
1242	336900	69656
1243	337095	69370
1244	337310	69087
1245	337497	68799
1246	337728	68520
1247	337947	68239
1248	338155	67956
1249	338345	67669
1250	338549	67385
1251	338764	67103
1252	338972	66820
1253	339147	66531
1254	339353	66248
1255	339575	65968
1256	339779	65685
1257	339992	65403
1258	340193	65120
1259	340395	64837
1260	340607	64555
1261	340859	64282
1262	341050	63997
1263	341275	63719
1264	341500	63440
1265	341705	63158
1266	341926	62880
1267	342098	62592
1268	342290	62308
1269	342505	62028
1270	342709	61747
1271	342927	61468
1272	343120	61184
1273	343322	60903
1274	343537	60624
1275	343760	60346
1276	343988	60070
1277	344208	59792
1278	344445	59517
1279	344665	59239
1280	344866	58958
1281	345069	58677
1282	345248	58393
1283	345439	58111
1284	345631	57829
1285	345871	57555
1286	346075	57275
1287	346265	56994
1288	346466	56714
1289	346662	56433
1290	346866	56154
1291	347088	55877
1292	347288	55598
1293	347517	55323
1294	347683	55038
1295	347871	54757
1296	348115	54485
1297	348321	54207
1298	348541	53931
1299	348749	53653
1300	348956	53376
1301	349171	53099
1302	349413	52827
1303	349616	52549
1304	349804	52269
1305	350008	51992
1306	350203	51713
1307	350360	51429
1308	350558	51151
1309	350773	50875
1310	350962	50596
1311	351164	50319
1312	351405	50047
1313	351615	49772
1314	351797	49492
1315	351997	49215
1316	352211	48940
1317	352410	48663
1318	352613	48387
1319	352810	48110
1320	352986	47830
1321	353164	47551
1322	353372	47276
1323	353582	47001
1324	353773	46724
1325	353971	46448
1326	354184	46174
1327	354373	45897
1328	354587	45624
1329	354765	45346
1330	354995	45074
1331	355215	44801
1332	355422	44527
1333	355624	44253
1334	355818	43977
1335	356055	43707
1336	356264	43433
1337	356448	43157
1338	356667	42885
1339	356897	42614
1340	357124	42343
1341	357327	42069
1342	357504	41793
1343	357713	41520
1344	357925	41247
1345	358118	40973
1346	358337	40701
1347	358528	40427
1348	358736	40155
1349	358952	39883
1350	359164	39611
1351	359371	39339
1352	359579	39067
1353	359808	38797
1354	360029	38527
1355	360233	38254
1356	360417	37980
1357	360610	37707
1358	360819	37436
1359	361026	37164
1360	361239	36893
1361	361474	36625
1362	361707	36356
1363	361922	36086
1364	362161	35818
1365	362374	35547
1366	362560	35274
1367	362822	35009
1368	363054	34740
1369	363293	34473
1370	363516	34203
1371	363727	33933
1372	363917	33661
1373	364107	33389
1374	364318	33119
1375	364539	32850
1376	364746	32580
1377	364904	32306
1378	365078	32033
1379	365293	31764
1380	365538	31498
1381	365764	31230
1382	365985	30961
1383	366182	30691
1384	366366	30420
1385	366580	30151
1386	366774	29881
1387	366975	29611
1388	367202	29344
1389	367395	29074
1390	367594	28804
1391	367846	28539
1392	368036	28269
1393	368241	28001
1394	368463	27733
1395	368674	27465
1396	368871	27196
1397	369084	26928
1398	369270	26659
1399	369497	26392
1400	369700	26124
1401	369938	25858
1402	370135	25590
1403	370280	25318
1404	370499	25051
1405	370707	24784
1406	370928	24517
1407	371126	24249
1408	371356	23983
1409	371586	23718
1410	371783	23450
1411	372000	23184
1412	372236	22919
1413	372463	22653
1414	372703	22388
1415	372927	22122
1416	373143	21856
1417	373363	21590
1418	373577	21324
1419	373808	21059
1420	374017	20793
1421	374222	20526
1422	374429	20260
1423	374632	19994
1424	374845	19728
1425	375068	19463
1426	375272	19197
1427	375471	18931
1428	375673	18665
1429	375919	18401
1430	376140	18136
1431	376351	17871
1432	376558	17605
1433	376712	17338
1434	376872	17070
1435	377075	16805
1436	377269	16540
1437	377456	16274
1438	377681	16010
1439	377887	15745
1440	378090	15480
1441	378296	15215
1442	378506	14951
1443	378729	14687
1444	378946	14423
1445	379175	14160
1446	379386	13895
1447	379608	13632
1448	379821	13368
1449	380038	13104
1450	380252	12841
1451	380452	12576
1452	380670	12313
1453	380907	12050
1454	381119	11787
1455	381311	11523
1456	381537	11260
1457	381757	10997
1458	381967	10733
1459	382158	10470
1460	382368	10206
1461	382572	9943
1462	382774	9680
1463	382996	9417
1464	383212	9155
1465	383436	8892
1466	383635	8629
1467	383813	8366
1468	384060	8104
1469	384311	7843
1470	384505	7580
1471	384687	7317
1472	384925	7055
1473	385115	6793
1474	385320	6530
1475	385523	6268
1476	385724	6006
1477	385892	5743
1478	386097	5482
1479	386310	5220
1480	386522	4958
1481	386725	4697
1482	386951	4435
1483	387154	4174
1484	387380	3912
1485	387545	3651
1486	387757	3389
1487	387945	3128
1488	388093	2867
1489	388323	2606
1490	388544	2345
1491	388761	2084
1492	388987	1823
1493	389190	1563
1494	389363	1302
1495	389580	1041
1496	389796	781
1497	390009	520
1498	390225	260
1499	390441	0
